preco,vendido,km_por_ano,idade_carro
30941.02,1,35085.308544,24
40557.96,1,12622.084992,26
89627.5,0,11440.826496000001,18
95276.14,0,43167.434112,9
117384.68,1,12770.14464,10
55405.26,1,23594.592384000003,17
93415.61,1,16077.346560000002,22
65265.09,0,18666.781056,16
43917.53,1,12607.600896000002,25
107860.41,1,24000.147072000003,21
75668.42,0,22635.42336,8
97411.7,0,24293.047680000003,23
91062.94,0,26608.893696000003,15
73156.01,0,35402.349312000006,17
82622.46,1,11479.450752,19
64115.99,1,20041.160832,22
48974.9,1,15990.441984000001,18
28007.36,1,35489.253888,13
94217.51,0,22680.484992,9
111136.8,1,25623.975168,24
37384.17,1,32830.617600000005,10
36271.82,1,15053.803776,12
82597.52,0,32782.33728,25
81831.93,0,12515.868288000001,22
92271.67,0,25044.611328000003,11
55734.53,1,23444.923392,22
67789.32,1,19569.623040000002,20
71840.26,0,19941.381504,25
25413.75,1,20718.694656,17
64497.7,0,17731.752192,20
76894.04,0,26441.521920000003,17
48359.62,1,32661.63648,11
56539.06,0,27020.88576,22
81757.83,0,20063.691648,18
80965.58,0,22527.597312,24
82776.88,0,43336.415232,26
61589.78,0,25735.019904,21
66655.85,0,24746.882688,18
85107.04,0,27941.430528,13
113990.61,0,12350.105856,17
29338.23,1,34208.216064,22
57463.74,0,23115.007872000002,21
41296.05,0,19485.937152000002,16
96446.05,0,38476.196352,23
53993.85,1,18381.927168000002,23
64387.6,0,23609.076480000003,16
116393.77,0,21034.126080000002,16
75332.79,0,14099.462784000001,9
53268.18,0,41796.273024,24
102184.72,0,18414.114048,24
107433.92,0,27249.412608000002,11
93167.18,0,25395.448320000003,18
88662.57,0,28092.708864,16
25889.56,1,24281.782272,18
70653.63,0,31240.585728000002,16
76666.68,0,24846.662016000002,22
106302.54,1,25839.627264000002,25
43890.33,1,39876.325632,18
62553.77,1,20731.569408000003,26
46776.67,1,34787.579904000006,16
34985.57,1,25089.67296,24
80251.29,0,28380.781440000002,11
54196.09,1,14559.735168000001,26
16736.17,1,36490.265856000005,23
45467.13,1,17884.639872,20
42956.65,1,16159.423104000001,23
85338.55,1,8986.576896,17
12017.79,1,24404.092416000003,25
105524.5,1,18682.874496,24
49745.4,1,33722.194176000005,25
95592.87,0,27373.332096000002,25
86444.77,1,18344.912256,14
33596.02,1,16669.585152,24
