preco,vendido,km_por_ano,idade_carro,modelo_carro
30941.02,1,35085.308544,24,22
40557.96,1,12622.084992,26,28
89627.5,0,11440.826496000001,18,18
95276.14,0,43167.434112,9,10
117384.68,1,12770.14464,10,9
55405.26,1,23594.592384000003,17,17
93415.61,1,16077.346560000002,22,24
65265.09,0,18666.781056,16,18
43917.53,1,12607.600896000002,25,23
107860.41,1,24000.147072000003,21,19
75668.42,0,22635.42336,8,6
97411.7,0,24293.047680000003,23,21
91062.94,0,26608.893696000003,15,16
73156.01,0,35402.349312000006,17,15
82622.46,1,11479.450752,19,21
64115.99,1,20041.160832,22,23
48974.9,1,15990.441984000001,18,20
28007.36,1,35489.253888,13,15
94217.51,0,22680.484992,9,7
111136.8,1,25623.975168,24,23
37384.17,1,32830.617600000005,10,9
36271.82,1,15053.803776,12,10
82597.52,0,32782.33728,25,23
81831.93,0,12515.868288000001,22,24
92271.67,0,25044.611328000003,11,9
55734.53,1,23444.923392,22,22
67789.32,1,19569.623040000002,20,22
71840.26,0,19941.381504,25,23
25413.75,1,20718.694656,17,15
64497.7,0,17731.752192,20,21
76894.04,0,26441.521920000003,17,17
48359.62,1,32661.63648,11,11
56539.06,0,27020.88576,22,24
81757.83,0,20063.691648,18,19
80965.58,0,22527.597312,24,22
82776.88,0,43336.415232,26,24
61589.78,0,25735.019904,21,19
66655.85,0,24746.882688,18,17
85107.04,0,27941.430528,13,11
113990.61,0,12350.105856,17,18
29338.23,1,34208.216064,22,24
57463.74,0,23115.007872000002,21,21
41296.05,0,19485.937152000002,16,15
96446.05,0,38476.196352,23,24
53993.85,1,18381.927168000002,23,25
64387.6,0,23609.076480000003,16,18
116393.77,0,21034.126080000002,16,15
75332.79,0,14099.462784000001,9,10
53268.18,0,41796.273024,24,22
102184.72,0,18414.114048,24,22
107433.92,0,27249.412608000002,11,10
93167.18,0,25395.448320000003,18,19
88662.57,0,28092.708864,16,17
25889.56,1,24281.782272,18,18
70653.63,0,31240.585728000002,16,18
76666.68,0,24846.662016000002,22,22
106302.54,1,25839.627264000002,25,24
43890.33,1,39876.325632,18,17
62553.77,1,20731.569408000003,26,27
46776.67,1,34787.579904000006,16,14
34985.57,1,25089.67296,24,23
80251.29,0,28380.781440000002,11,13
54196.09,1,14559.735168000001,26,24
16736.17,1,36490.265856000005,23,21
45467.13,1,17884.639872,20,18
42956.65,1,16159.423104000001,23,24
85338.55,1,8986.576896,17,19
12017.79,1,24404.092416000003,25,26
105524.5,1,18682.874496,24,22
49745.4,1,33722.194176000005,25,26
95592.87,0,27373.332096000002,25,24
86444.77,1,18344.912256,14,12
33596.02,1,16669.585152,24,22
75782.68,0,38579.194368000004,12,13
84454.22,0,17593.348608,10,10
81748.68,0,21869.375616,18,18
18576.43,1,14786.652672,20,22
64773.76,0,18061.667712000002,14,15
31250.34,1,34110.04608,26,26
46864.83,1,30324.868992000003,18,18
18905.64,1,25973.202816,25,25
90767.87,0,10333.597824,19,19
92508.98,0,19402.251264000002,20,22
90378.63,0,27970.39872,25,27
42569.3,1,16004.926080000001,18,17
62620.45,0,27093.30624,16,16
60101.5,1,6939.491328,26,27
48978.94,1,21129.077376,20,21
69271.08,0,46534.18176,11,11
82495.58,0,25498.446336,25,25
11979.47,1,20860.316928,25,27
77816.76,0,15285.549312000001,19,20
41273.9,1,25578.913536,22,24
103459.05,1,17892.686592000002,16,17
73901.01,0,20041.160832,13,12
75390.33,0,20972.971008,21,22
75457.92,1,22723.937280000002,14,14
75285.5,1,22194.463104000002,22,24
95177.42,1,13800.124800000001,24,26
95676.08,0,36963.412992000005,20,18
45343.51,1,27358.848,22,22
96467.94,0,29727.802368,26,24
90684.94,0,9229.58784,26,26
43390.38,1,19711.245312000003,12,10
105329.2,0,21318.979968,13,11
84517.72,1,15480.279936,13,13
61696.4,0,17068.702464,26,26
38245.75,1,26895.356928,24,26
79957.38,1,18890.479872,19,17
91674.9,0,13692.298752,21,22
96028.69,0,18135.697536,17,16
103326.66,1,14278.099968,9,11
107562.56,0,14590.312704000002,12,13
35738.06,1,18309.506688,19,21
32582.02,1,23293.645056,19,18
26871.75,1,21534.632064,22,24
103336.64,1,17738.189568,21,22
44303.89,0,18013.387392,20,21
58770.23,1,22674.047616,25,23
95838.99,0,29307.763584,13,14
80921.29,0,23403.080448,21,19
94786.28,0,22638.642048,19,19
102461.86,1,26539.691904000003,26,28
66761.79,0,31948.697088,25,26
95016.78,1,15946.989696,15,15
23334.06,1,20660.758272000003,25,24
66311.2,0,15166.457856,14,15
20199.69,1,17234.464896,22,24
74419.32,0,24391.217664000003,12,11
76829.64,0,22099.511808000003,12,10
72033.52,0,11989.6128,24,22
101257.79,1,36540.15552,22,23
41923.42,1,26126.090496,12,12
16547.2,1,17348.728320000002,23,24
94912.13,0,19529.389440000003,25,26
39284.89,1,19743.432192,11,9
58005.41,1,18481.706496000003,18,16
22629.92,1,24534.44928,18,16
66930.86,0,15126.224256000001,12,12
40436.0,0,33152.4864,25,26
51383.65,1,28034.772480000003,19,18
79893.16,1,20152.205568,15,14
72450.5,0,14857.463808,25,24
56535.6,1,28313.188992000003,25,25
81437.98,0,21008.376576000002,23,25
66587.22,0,25384.182912,19,20
96076.38,0,21035.735424000002,19,17
98132.27,1,16404.043392,26,25
99431.8,0,23800.588416000002,16,16
35021.38,1,20242.328832000003,19,17
96253.86,0,24262.470144000003,20,22
84931.89,0,23152.022784,25,26
45154.74,1,24412.139136,15,15
78835.63,1,15024.835584,20,18
58980.31,1,16938.3456,26,27
64465.21,1,18941.978880000002,10,8
38315.73,1,22715.89056,19,19
90298.67,0,10689.262848,13,11
52555.22,0,15377.281920000001,16,17
24441.23,1,25941.015936000003,24,26
107431.11,0,22210.556544000003,15,15
64096.95,0,10882.384128000002,16,14
53669.06,1,19069.117056000003,11,13
60693.34,0,31340.365056000002,24,26
83884.53,0,39367.772928000006,15,17
68563.86,1,17326.197504,25,27
82261.92,0,26670.048768,23,23
116027.14,1,31543.1424,22,20
33361.66,1,26195.292288,20,18
40174.67,0,18192.024576,11,11
100872.41,0,23214.787200000002,17,18
91729.32,1,22352.178816000003,20,21
37220.88,1,12448.27584,17,18
42932.35,1,22097.902464000003,26,26
105354.79,0,12316.309632,12,14
70237.57,0,38917.156608000005,18,19
27085.34,1,29854.940544,26,28
103986.22,0,13006.718208,20,21
53868.23,1,30011.046912,25,27
103445.43,0,13499.177472000001,22,23
50956.1,0,31601.078784,20,20
41999.23,1,18069.714432,21,21
42653.18,1,19312.128,24,22
98138.6,0,14226.600960000002,20,22
77999.11,0,40849.978752,22,24
30009.3,1,20636.618112,17,16
97198.21,0,22101.121152,16,18
46167.55,1,19529.389440000003,22,20
33977.16,1,22226.649984,18,17
101201.24,0,19633.9968,11,9
24148.18,1,16589.117952,21,23
83091.96,0,30221.870976000002,17,18
38810.77,1,11217.127680000001,18,18
64021.74,0,19360.408320000002,25,25
59679.59,1,10840.541184000002,23,21
70260.51,1,30957.341184,26,25
33855.29,1,34832.641536,26,26
90108.76,1,23831.165952000003,23,21
70021.62,0,12470.806656,9,11
88631.4,1,19606.637952,12,11
94664.91,0,19434.438144,18,19
99968.88,0,10534.765824,17,15
50061.13,1,10454.298624000001,16,18
60974.59,1,17347.118976,20,22
82931.27,0,25213.592448000003,24,24
39039.59,1,28853.928576000002,25,27
53963.73,1,29595.836160000003,14,12
15305.7,1,13484.693376000001,22,21
45718.37,0,13833.921024000001,13,13
96180.51,1,17477.475840000003,18,18
39007.92,1,14039.917056,17,17
88150.84,0,40203.022464,25,27
97110.55,1,17932.920192,16,17
86931.31,0,41989.394304,18,19
24341.89,1,19711.245312000003,24,26
42751.8,1,14603.187456000001,13,12
71739.52,0,31454.628480000003,21,21
65241.32,0,9720.43776,18,18
73067.51,1,12546.445824,25,26
60570.37,1,19447.312896000003,26,27
64984.26,0,17305.276032,24,23
80657.07,1,17340.6816,22,24
83781.08,0,17817.047424,21,21
23448.52,1,40312.457856,23,21
39346.34,1,18682.874496,23,25
71532.28,0,35738.702208,18,17
70118.54,0,44361.56736,24,24
70719.34,1,13558.7232,21,23
36936.61,1,18119.604096000003,26,28
95422.54,1,17899.123968,16,17
60788.08,0,22836.591360000002,24,22
73153.25,1,22727.155968000003,26,24
72758.98,0,22947.636096000002,25,23
41366.51,1,19139.928192000003,23,22
54764.77,0,46458.542592000005,11,11
62605.17,1,19184.989824,19,17
37530.15,1,17911.99872,18,19
61726.41,0,15699.150720000001,26,25
67703.88,0,18259.617024000003,13,15
65691.55,0,34575.146496,22,22
38234.77,1,15708.806784,16,16
97033.21,0,44709.185664000004,23,25
34119.04,1,25894.344960000002,17,19
95342.37,0,17540.240256,22,20
65200.08,0,30371.539968,21,21
73548.4,0,35302.569984,18,20
40769.51,1,21616.708608,25,26
48927.78,1,43510.224384,21,21
80858.31,0,24122.457216000003,24,23
48885.2,1,13381.695360000002,21,20
35631.97,1,33134.783616,21,19
79025.54,0,41706.14976,17,18
49590.78,0,24487.778304000003,17,19
24614.46,1,13507.224192000001,22,22
85914.82,0,23491.594368000002,18,16
84192.06,1,14176.711296000001,11,13
110558.98,0,21143.561472,8,7
78617.01,0,23277.551616,20,22
58933.0,1,44393.75424,23,21
45677.29,1,21674.644992,13,13
78547.52,1,16083.783936000002,24,22
41605.44,1,29302.935552000003,23,22
30481.01,1,14128.430976000001,25,24
105677.42,1,22947.636096000002,14,13
45817.6,1,16379.903232,20,18
96407.65,0,33072.0192,15,15
80183.01,0,29280.404736,26,26
48616.33,1,21829.142016,9,11
58761.47,1,15264.627840000001,15,16
56037.14,1,25826.752512000003,23,23
34621.52,1,31884.323328000002,23,22
108416.34,1,22113.995904000003,8,7
97926.72,0,35428.098816000005,14,12
65811.04,1,19101.303936,14,15
50146.34,0,17013.984768000002,15,17
109215.68,1,12388.730112000001,18,18
56158.82,0,26670.048768,23,22
25495.31,1,35936.65152,22,20
93179.79,1,12737.957760000001,12,12
80301.3,0,24289.828992000002,16,16
80608.35,1,14897.697408000002,13,11
70524.3,1,7567.135488000001,13,15
50307.59,1,22461.614208000003,26,26
52763.86,0,21439.680768000002,20,21
74560.79,0,36160.350336,19,20
50272.61,1,40040.47872,25,27
48031.11,1,16899.721344,14,14
60835.06,0,11479.450752,18,17
103001.47,0,19942.990848,26,27
44724.71,0,30814.109568000003,26,28
62896.9,0,36837.88416,17,15
36757.34,1,26769.828096,12,12
99345.47,0,16882.01856,17,18
35187.66,1,27790.152192,25,24
60494.2,0,29125.907712,25,23
32140.32,1,28507.919616000003,16,17
72494.65,0,17791.29792,26,28
60963.98,1,20902.159872,14,12
29846.95,1,28556.199936,22,23
96629.93,0,19222.004736000003,24,23
17099.53,1,27523.001088,24,24
91871.81,0,21837.188736,15,17
105254.27,1,20264.859648,23,21
66800.19,0,26694.188928000003,25,24
71884.55,0,28174.785408000003,13,11
99362.45,1,36623.841408,24,23
65502.27,0,15823.070208000001,21,20
61589.68,0,25080.016896,10,8
85528.69,1,18676.437120000002,26,25
51048.1,1,30892.967424000002,21,23
89204.35,0,15993.660672000002,10,9
34106.61,1,18766.560384,19,21
93591.27,1,21375.307008,21,23
42460.74,1,13911.169536000001,26,27
105170.22,1,14928.274944,20,20
89394.0,0,40396.143744,26,28
81849.27,0,22532.425344000003,14,14
21698.45,1,32835.445632,22,21
67026.41,1,11736.945792,25,25
58795.57,1,30423.038976000003,22,23
32578.24,1,34398.118656,23,25
106744.63,0,14073.713280000002,12,11
50227.03,1,21243.3408,16,14
29275.66,1,26056.888704,26,26
87249.72,0,26843.857920000002,11,13
60412.78,0,43189.964928,26,25
58403.01,1,14707.794816000001,25,27
60611.05,1,20229.454080000003,26,25
51375.39,0,15045.757056,10,10
94724.39,1,23721.73056,14,16
115907.54,1,26518.770432,16,15
108072.15,1,27757.965312,25,27
71393.18,1,15267.846528000002,25,27
64356.4,0,35276.82048,24,24
65512.96,0,19514.905344000003,23,24
73526.68,0,37296.5472,19,21
86962.43,1,17083.186560000002,24,23
75308.4,1,16587.508608,15,14
77450.66,0,21203.107200000002,22,24
87133.58,0,27038.588544000002,23,24
72921.91,0,12243.889152000002,17,19
54881.34,1,38868.876288,13,14
51414.06,1,25649.724672,19,21
73995.74,0,31010.449536000004,19,20
58540.97,0,28734.83712,26,25
92527.23,0,25704.442368,17,18
67457.71,0,11506.8096,23,24
42270.45,1,46300.82688,25,26
66502.41,0,10655.466624,10,11
76128.49,0,11889.833472,19,18
48176.44,1,29302.935552000003,24,25
99855.89,0,14025.43296,18,19
32988.68,1,10317.504384,12,13
95672.85,0,24714.695808,20,20
40562.78,1,12787.847424000001,23,24
89447.12,1,14393.972736000002,14,14
101020.51,1,35482.816512000005,15,16
61876.6,0,31213.226880000002,24,24
10523.62,1,16106.314752,25,26
50350.21,1,15018.398208,25,26
71042.66,1,14163.836544000002,21,21
89330.23,1,34900.233984000006,16,16
38275.15,1,28480.560768000003,22,23
56944.59,0,21080.797056000003,18,18
71172.51,0,15563.965824,21,19
21425.97,1,13499.177472000001,20,22
33195.17,1,21911.21856,25,23
80133.35,1,23794.15104,22,21
95451.76,0,31866.620544,17,18
75429.15,0,17788.079232,19,19
73828.87,0,30344.18112,18,19
53441.7,0,12639.787776000001,15,15
87397.7,0,31018.496256000002,20,19
40425.74,1,31802.246784000003,26,26
59712.76,1,21463.820928,20,18
53620.03,1,13666.549248000001,21,21
69926.45,0,23996.928384000003,19,21
99947.31,1,22717.499904,16,14
71901.77,0,28297.095552000002,23,25
75606.69,0,28269.736704000003,13,11
100109.51,1,27355.629312,23,23
54470.12,1,17501.616,19,21
55234.23,0,37721.414016,22,22
16100.55,1,14265.225216,25,24
27837.75,1,30543.739776000002,22,20
92347.47,1,23351.58144,19,17
51786.94,1,13785.640704000001,18,19
88147.2,1,18473.659776,18,19
48748.05,1,20945.61216,22,22
82718.96,1,19648.480896,26,26
47725.66,1,17321.369472000002,22,20
96824.04,1,11065.849344,25,25
70160.04,0,44688.264192,16,17
106663.84,1,19772.400384,22,22
12679.47,1,14714.232192000001,26,26
53256.53,0,27310.56768,13,11
75329.62,0,38556.663552000005,18,16
42410.77,1,22569.440256,20,18
48904.71,0,14855.854464000002,24,22
38707.38,1,32890.163328,13,11
87000.67,1,19304.081280000002,23,21
55680.57,0,17902.342656,18,17
31682.9,1,31578.547968000003,24,23
59919.38,1,30899.404800000004,16,14
98076.26,1,12453.103872000002,19,20
97051.88,0,23018.447232000002,18,18
31384.59,1,36831.446784,24,25
100902.05,1,16838.566272,24,24
52934.42,1,21708.441216000003,17,19
78931.13,0,24288.219648000002,21,19
82494.0,1,17129.857536,26,28
52238.42,1,21819.485952000003,26,25
53840.35,1,20390.38848,22,22
35711.03,1,24038.771328000003,15,16
81582.81,0,22714.281216000003,17,19
83509.77,1,20763.756288,24,26
32167.57,1,17881.421184000003,25,24
114609.66,1,15351.532416000002,13,13
54940.25,0,19168.896384,24,22
100368.11,1,13166.043264000002,25,26
48481.31,0,28462.857984000002,15,14
68456.86,0,10138.8672,25,26
81234.8,0,33382.622592,15,15
27338.23,1,15359.579136,25,27
83224.59,0,33846.113664000004,13,15
16021.54,1,33710.928768000005,26,24
110580.13,0,21842.016768,23,22
